Key,OrgName,Org_ID,PriorityDescription,ResultType,Target,WaitTime_90percentile,WaitTime_mean,WaitTime_percent_within_target,case_per_day,case_per_month,day,orgSort
201812,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.2,1.7,NDA,749.173708066,4942.0,Monday,1.0
201812,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.2,1.7,NDA,735.950962054,4942.0,Tuesday,1.0
201812,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.2,1.7,NDA,727.336715056,4942.0,Wednesday,1.0
201812,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.2,1.7,NDA,725.5531423140001,4942.0,Thursday,1.0
201812,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.2,1.7,NDA,707.825343232,4942.0,Friday,1.0
201812,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.2,1.7,NDA,640.9828707940001,4942.0,Saturday,1.0
201812,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.2,1.7,NDA,655.177253542,4942.0,Sunday,1.0
201901,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.2,1.7,NDA,773.428623746,5102.0,Monday,1.0
201901,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.2,1.7,NDA,759.7777839739999,5102.0,Tuesday,1.0
201901,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.2,1.7,NDA,750.8846459360001,5102.0,Wednesday,1.0
201901,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.2,1.7,NDA,749.0433290340001,5102.0,Thursday,1.0
201901,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.2,1.7,NDA,730.7415825920001,5102.0,Friday,1.0
201901,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.2,1.7,NDA,661.735047914,5102.0,Saturday,1.0
201901,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.2,1.7,NDA,676.388981702,5102.0,Sunday,1.0
201902,University Health Network - Toronto Western Hospital,1364.0,"How long patients waited from checking in at triage or registration, to their first assessment by a doctor, nurse-practitioner or dentist in the emergency department.",PIA,,3.3,1.7,NDA,673.983469458,4446.0,Monday,1.0
